id,time,longitude,latitude,magnitude,x,y,time_days,step,logli_t,logli_s,logli_ts,loglam_t,loglam_ts,intlam
3,2008-01-01 04:19:05.720,-116.355667,33.345688,0.72,-20.52413836913255,24.043410443575745,13879.179927314815,,,,,,,
7,2008-01-01 05:19:48.069,-116.66389,33.61172,1.21,9.02840880235662,-4.57301691523549,13879.222084131943,,,,,,,
8,2008-01-01 05:46:09.090,-116.66279,33.61116,0.74,8.966091654837097,-4.471181489199093,13879.24038298611,,,,,,,
13,2008-01-01 06:57:40.033,-116.725136,33.667522,0.61,15.237685008990276,-10.238012752830588,13879.29004667824,,,,,,,
15,2008-01-01 07:01:37.256,-116.66245,33.61113,0.75,8.962741191535926,-4.439697452016581,13879.292792314816,,,,,,,
22,2008-01-01 08:06:14.916,-116.45734,33.50867,0.93,-2.420280093055378,14.571717118970096,13879.337672638889,,,,,,,
28,2008-01-01 11:26:30.606,-116.66301,33.61109,1.39,8.958317521598827,-4.491558156767098,13879.476743125002,,,,,,,
29,2008-01-01 12:13:28.033,-116.66298,33.60949,1.5,8.78040434377752,-4.488863272529154,13879.509352233796,,,,,,,
32,2008-01-01 14:19:05.102,-116.995995,33.634079,1.38,11.578533724228189,-35.318049248042584,13879.596586828706,,,,,,,
35,2008-01-01 15:25:59.232,-116.40459,33.40771,0.89,-13.637861929419572,19.485094574421726,13879.643046666668,,,,,,,
38,2008-01-01 19:03:04.703,-116.523987,33.475376,0.93,-6.129779914116255,8.395801188659517,13879.793804432871,,,,,,,
43,2008-01-02 02:50:30.384,-116.475784,33.48735,0.64,-4.793394007310066,12.864859784963366,13880.118407222222,,,,,,,
52,2008-01-02 09:42:27.338,-116.66246,33.60947,0.87,8.778158047312237,-4.4407089524288565,13880.404483078702,,,,,,,
53,2008-01-02 10:17:43.085,-116.66194,33.60913,1.8,8.740329615656645,-4.392570903286152,13880.428970891204,,,,,,,
62,2008-01-02 13:29:31.448,-116.37051,33.35043,1.09,-20.00018890335271,22.66342681764897,13880.562169537036,,,,,,,
63,2008-01-02 18:14:42.189,-116.713341,33.563828,0.79,3.70633609254601,-9.157458297453818,13880.760210520832,,,,,,,
65,2008-01-03 00:38:02.858,-116.62719,33.45281,1.45,-8.642594467432515,-1.1766087219866783,13881.02642196759,,,,,,,
66,2008-01-03 01:25:22.485,-116.74598,33.65724,1.28,14.096632899845666,-12.168453639316384,13881.059288020831,,,,,,,
