id,time,longitude,latitude,magnitude,x,y,time_days,step,logli_t,logli_s,logli_ts,loglam_t,loglam_ts,intlam
12036,1971-01-01 20:36:17.720,-119.4328333,33.8986667,2.91,-221.8284296413594,-52.44650157733816,365.85853842592593,,,,,,,
12037,1971-01-02 02:19:13.010,-117.6161667,35.7258333,2.69,-18.087789710900143,112.70206371038296,366.0966783564815,,,,,,,
12038,1971-01-02 02:37:49.820,-117.5948333,35.7551667,2.97,-14.801382359168665,114.58539995088717,366.1096043981482,,,,,,,
12039,1971-01-02 06:27:39.120,-120.2818333,35.8381667,3.26,-5.390044445970783,-127.74048571558254,366.26920277777776,,,,,,,
12040,1971-01-02 07:59:08.050,-117.6051667,35.671,2.92,-24.17206833568486,113.77329491842072,366.3327320601852,,,,,,,
12041,1971-01-02 11:19:28.190,-117.5993333,35.7561667,3.12,-14.695452222538265,114.17793027156284,366.471854050926,,,,,,,
12043,1971-01-05 06:14:45.430,-117.9923333,34.0581667,3.63,-203.88938895907964,80.3760258612899,369.2602480324074,,,,,,,
12045,1971-01-08 23:23:14.940,-116.2936667,34.8461667,3.1,-113.56057666245314,234.60958340952143,372.97447847222224,,,,,,,
12047,1971-01-09 16:52:46.690,-117.5401667,35.7023333,3.05,-20.61058657394822,119.59733941792584,373.7033181712963,,,,,,,
12048,1971-01-11 02:54:54.150,-116.5265,34.2586667,2.75,-179.410868977347,214.89684388397995,375.1214600694444,,,,,,,
12049,1971-01-11 15:21:27.610,-121.3333333,34.728,3.67,-126.9376710760026,-225.59453542233604,375.6399028935185,,,,,,,
12050,1971-01-12 13:36:12.360,-115.0816667,32.2566667,2.85,-397.871131477092,355.89007963325685,376.5668097222222,,,,,,,
12051,1971-01-13 07:25:35.940,-115.9826667,31.9446667,3.01,-435.3674348127016,272.1149328145753,377.30944375,,,,,,,
12052,1971-01-14 02:28:40.810,-116.7205,33.4555,3.25,-269.1161097605878,198.9652036945712,378.1032501157407,,,,,,,
12053,1971-01-15 13:16:39.100,-115.758,32.5236667,2.76,-370.3641328552274,291.39467184040643,379.5532303240741,,,,,,,
12054,1971-01-15 22:33:29.480,-117.6456667,35.7408333,2.65,-16.453487813268488,110.0185448963876,379.939924537037,,,,,,,
12055,1971-01-16 00:53:53.970,-118.3291667,35.477,3.56,-46.34335782354739,48.492967880313294,380.0374302083333,,,,,,,
12056,1971-01-16 04:09:19.590,-116.4215,33.4715,3.49,-266.6986086783437,226.66231080286383,380.1731434027778,,,,,,,
12057,1971-01-16 05:13:29.230,-118.3095,35.4945,2.8,-44.38755264317253,50.2628214906221,380.2176994212963,,,,,,,
12058,1971-01-16 05:33:32.270,-119.9376667,36.0091667,2.92,13.228776955307527,-96.50998873983836,380.2316234953704,,,,,,,
12059,1971-01-16 06:59:04.010,-118.2928333,35.4841667,2.7,-45.52788328568861,51.77835378760494,380.2910186342593,,,,,,,
12060,1971-01-17 22:30:31.730,-115.7345,32.58,3.4,-364.032531409044,293.4082923527783,381.9378672453704,,,,,,,
12061,1971-01-18 00:46:42.360,-119.8311667,35.5061667,3.0,-42.80134096312813,-87.48296459794527,382.0324347222222,,,,,,,
12062,1971-01-19 02:36:12.680,-116.7495,33.9638333,3.49,-212.65342474458785,195.09407755692536,383.1084800925926,,,,,,,
12063,1971-01-20 12:07:32.510,-115.8656667,32.9465,2.93,-323.6600827732863,279.92917590734834,384.50523738425926,,,,,,,
12064,1971-01-20 13:05:22.680,-116.4578333,34.2281667,2.66,-182.6507649080784,221.28791625723537,384.5454013888889,,,,,,,
12065,1971-01-21 01:28:59.470,-116.1488333,32.2488333,3.44,-401.98404078836086,255.54697113469769,385.06179942129626,,,,,,,
12066,1971-01-21 03:02:50.130,-117.5958333,35.775,2.56,-12.597257676456772,114.46659478980068,385.12696909722223,,,,,,,
12067,1971-01-21 05:38:20.870,-117.6115,35.7558333,2.78,-14.746655346861568,113.08062108173375,385.23496377314814,,,,,,,
