index,time,longitude,latitude,magnitude,time_days,x,y,step,logli_t,logli_s,logli_ts,loglam_t,loglam_ts,intlam
598069,1981-01-02 15:03:09.420,-118.281,36.043,3.13,4019.627192361111,210.60126845299132,-113.33875385528636,,,,,,,
598071,1981-01-02 16:45:32.810,-118.308,36.051,2.59,4019.698296412037,211.5216034418771,-115.75496495871792,,,,,,,
598083,1981-01-03 13:34:45.550,-120.38,34.581,2.64,4020.565804976852,52.40414737643816,-307.49743699497367,,,,,,,
598093,1981-01-04 09:21:32.320,-115.753,32.174,2.77,4021.389957407407,-219.5946257361213,119.3271507820617,,,,,,,
598105,1981-01-05 14:37:27.770,-119.287,34.064,2.65,4022.609349189815,-7.848244291924138,-208.75230395085703,,,,,,,
598113,1981-01-06 17:59:15.370,-114.25,35.376,2.5,4023.749483449074,139.16907357722926,251.18441580857737,,,,,,,
598121,1981-01-07 11:42:30.000,-122.00181970120428,36.99703588883984,4.24,4024.487847222222,327.04010295811673,-442.3623571973188,,,,,,,
598140,1981-01-08 14:52:14.370,-118.66,33.908,3.2,4025.619610763889,-26.298506928763302,-151.28451796279614,,,,,,,
598165,1981-01-10 06:34:32.850,-118.231,34.109,2.53,4027.2739913194446,-4.500378345365985,-111.43378454555976,,,,,,,
598176,1981-01-10 23:19:20.250,-120.187,36.201,2.81,4027.971762152778,231.94516828960147,-284.1287605493136,,,,,,,
598180,1981-01-11 02:23:36.310,-120.111,36.133,2.98,4028.099725810185,224.1723157313804,-277.5482179947046,,,,,,,
598181,1981-01-11 02:24:07.390,-120.227,36.064,2.86,4028.1000855324073,216.8281307606221,-288.2117793093527,,,,,,,
598182,1981-01-11 02:27:44.640,-120.088,36.127,2.62,4028.1026,223.44185251365852,-275.5039803335547,,,,,,,
598183,1981-01-11 04:44:29.510,-120.656,36.095,3.49,4028.197563773148,221.5886992792368,-326.63013756025794,,,,,,,
598190,1981-01-11 22:02:13.740,-117.248,34.189,2.58,4028.918214583333,3.757927152697895,-20.915360606438337,,,,,,,
598193,1981-01-11 22:29:04.030,-117.248,34.194,2.54,4028.9368521990737,4.313901403536137,-20.914121009089342,,,,,,,
598197,1981-01-11 23:15:49.450,-117.249,34.2,2.78,4028.9693223379622,4.981275955866524,-21.004600295044817,,,,,,,
598220,1981-01-13 15:22:45.890,-116.659,35.819,2.8,4030.640808912037,185.04094579789285,32.60870342959857,,,,,,,
598222,1981-01-13 20:14:39.030,-117.683,35.041,2.6,4030.8435072916654,98.66990082534495,-60.30611292039962,,,,,,,
598227,1981-01-13 23:00:31.430,-115.523,33.883,3.0,4030.9586971064814,-29.27898916695424,138.2420610295394,,,,,,,
598258,1981-01-17 00:09:35.540,-120.584,35.956,3.3,4034.006661342593,205.9037551683032,-320.7210464535755,,,,,,,
