id,time,longitude,latitude,magnitude,time_days,x,y,step,logli_t,logli_s,logli_ts,loglam_t,loglam_ts,intlam
3,2008-01-01 04:19:05.720,-116.355667,33.345688,0.72,13879.179927314815,-20.524779069400477,24.04325582407055,,,,,,,
7,2008-01-01 05:19:48.069,-116.66389,33.61172,1.21,13879.222084131943,9.027768558380176,-4.573171063619861,,,,,,,
8,2008-01-01 05:46:09.090,-116.66279,33.61116,0.74,13879.24038298611,8.965451409217806,-4.471335638586572,,,,,,,
13,2008-01-01 06:57:40.033,-116.725136,33.667522,0.61,13879.29004667824,15.237044856415844,-10.238166800785686,,,,,,,
15,2008-01-01 07:01:37.256,-116.66245,33.61113,0.75,13879.292792314816,8.962100945778571,-4.439851601640394,,,,,,,
22,2008-01-01 08:06:14.916,-116.45734,33.50867,0.93,13879.337672638889,-2.42092064382034,14.57156278744389,,,,,,,
28,2008-01-01 11:26:30.606,-116.66301,33.61109,1.39,13879.476743125002,8.957677276580222,-4.49171230641615,,,,,,,
29,2008-01-01 12:13:28.033,-116.66298,33.60949,1.5,13879.509352233796,8.779764098405312,-4.489017424891222,,,,,,,
32,2008-01-01 14:19:05.102,-116.995995,33.634079,1.38,13879.596586828706,11.577893980145108,-35.31820335340839,,,,,,,
35,2008-01-01 15:25:59.232,-116.40459,33.40771,0.89,13879.643046666668,-13.63850255768358,19.484940063692445,,,,,,,
38,2008-01-01 19:03:04.703,-116.523987,33.475376,0.93,13879.793804432871,-6.1304203665267245,8.395646797403465,,,,,,,
43,2008-01-02 02:50:30.384,-116.475784,33.48735,0.64,13880.118407222222,-4.794034531129896,12.86470541587547,,,,,,,
52,2008-01-02 09:42:27.338,-116.66246,33.60947,0.87,13880.404483078702,8.777517800994193,-4.440863104740896,,,,,,,
53,2008-01-02 10:17:43.085,-116.66194,33.60913,1.8,13880.428970891204,8.739689369010424,-4.392725056433025,,,,,,,
62,2008-01-02 13:29:31.448,-116.37051,33.35043,1.09,13880.562169537036,-20.00082958176777,22.6632722062012,,,,,,,
63,2008-01-02 18:14:42.189,-116.713341,33.563828,0.79,13880.760210520832,3.705695922088499,-9.157612531371166,,,,,,,
65,2008-01-03 00:38:02.858,-116.62719,33.45281,1.45,13881.02642196759,-8.643234767034988,-1.1767631540644028,,,,,,,
66,2008-01-03 01:25:22.485,-116.74598,33.65724,1.28,13881.059288020831,14.095992778124725,-12.168607705292915,,,,,,,
73,2008-01-03 05:33:09.358,-116.424171,33.567493,1.31,13881.231358310186,4.125046252745859,17.6348046366973,,,,,,,
74,2008-01-03 05:47:11.090,-116.95116,33.80385,0.62,13881.241100578703,30.44116097889972,-31.10592878605331,,,,,,,
78,2008-01-03 07:30:07.114,-116.85374,33.86824,0.67,13881.31258233796,37.57594943911914,-22.088002147851665,,,,,,,
83,2008-01-03 09:08:10.495,-116.79332,33.475281,0.9,13881.380677025463,-6.130356693906517,-16.58506647023876,,,,,,,
84,2008-01-03 09:31:53.084,-116.70712,33.69396,1.64,13881.397142175929,18.175180600744486,-8.568260894743572,,,,,,,
