SCEDC_20, 1.2549679695439409e-06
SCEDC_25, 6.342142455650901e-07
SCEDC_30, 2.837882391304447e-07
ComCat, 9.525680980004836e-06
SaltonSea, 2.5746237952262163e-05
SanJac, 5.29704375367146e-05
WHITE, 0.00015093747060745955
SCEDC_20, 1.1835880968646961e-06
SCEDC_25, 6.776969030397595e-07
SCEDC_30, 2.3906756041469635e-07
ComCat, 9.557768862578087e-06
SaltonSea, 2.6764175345306285e-05
SanJac, 4.3896907300222665e-05
WHITE, 0.00014728450332768261
SCEDC_20, 1.0811886568262707e-06
SCEDC_25, 5.050291065344936e-07
SCEDC_30, 2.718397809076123e-07
ComCat, 9.830847375269514e-06
SaltonSea, 2.3823002265999094e-05
SanJac, 3.9698010368738323e-05
WHITE, 0.000123730453196913
